     40.   .100E-05
     80.   .613E-08
    120.   .271E-08
    160.   .152E-08
    200.   .967E-09
    240.   .669E-09
    280.   .490E-09
    320.   .373E-09
    360.   .294E-09
    400.   .237E-09
    440.   .195E-09
    480.   .163E-09
    520.   .138E-09
    560.   .119E-09
    600.   .103E-09
    640.   .903E-10
    680.   .796E-10
    720.   .707E-10
    760.   .632E-10
    800.   .568E-10
    840.   .513E-10
    880.   .466E-10
    920.   .425E-10
    960.   .388E-10
   1000.   .356E-10
   1040.   .328E-10
   1080.   .303E-10
   1120.   .281E-10
   1160.   .261E-10
   1200.   .243E-10
   1240.   .226E-10
   1280.   .212E-10
   1320.   .198E-10
   1360.   .186E-10
   1400.   .175E-10
   1440.   .165E-10
   1480.   .155E-10
   1520.   .147E-10
   1560.   .139E-10
   1600.   .131E-10
   1640.   .124E-10
   1680.   .118E-10
   1720.   .112E-10
   1760.   .107E-10
   1800.   .102E-10
   1840.   .970E-11
   1880.   .925E-11
   1920.   .885E-11
   1960.   .845E-11
   2000.   .809E-11
   2040.   .774E-11
   2080.   .743E-11
   2120.   .712E-11
   2160.   .683E-11
   2200.   .656E-11
   2240.   .631E-11
   2280.   .607E-11
   2320.   .583E-11
   2360.   .562E-11
   2400.   .541E-11
   2440.   .522E-11
   2480.   .504E-11
   2520.   .485E-11
   2560.   .469E-11
   2600.   .453E-11
   2640.   .438E-11
   2680.   .423E-11
   2720.   .410E-11
   2760.   .396E-11
   2800.   .384E-11
   2840.   .371E-10
   2880.   .359E-09
   2920.   .329E-08
   2960.   .313E-08
   3000.   .456E-08
   3040.   .260E-08
   3080.   .235E-08
   3120.   .226E-09
   3160.   .219E-10
   3200.   .213E-11
   3240.   .207E-11
   3280.   .201E-11
   3320.   .196E-11
   3360.   .190E-11
   3400.   .185E-11
   3440.   .180E-11
   3480.   .176E-11
   3520.   .171E-11
   3560.   .167E-11
   3600.   .162E-11
   3640.   .158E-11
   3680.   .154E-11
   3720.   .151E-11
   3760.   .147E-11
   3800.   .143E-11
   3840.   .140E-11
   3880.   .136E-11
   3920.   .133E-11
   3960.   .130E-11
   4000.   .127E-11
